CourseCode,CourseName,CourseCredit,Type,Courses,Applicable forDepartment(s),Applicable forprogram(s),InstructorConsent,Remark,Qualifyingdiscipline
AE 102,Data Analysis and Interpretation,6,equivalent,AE 248,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
- Dual Degree (M.Tech. + M.S. by Research)
- Dual Degree (M.Tech. + Ph.D.)
- IDDDP
- M.Tech.
- Ph.D.
",Not Required,,
AE 152,Introduction to Aerospace Engg.,6,equivalent,AE 153 OR AE 705,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
- M.Tech.
",Not Required,,
AE 153,Introduction to Aerospace Engg.,6,equivalent,AE 152 OR AE 705,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
- M.Tech.
",Not Required,,
AE 223,Thermodynamics and Propulsion,6,prerequiste,,All Department,"- B.Tech.
- DDDP
- Dual Degree (B.Tech. + M.Tech.)
",Required,,
AE 225,Incompressible Fluid Mechanics,6,equivalent,ME 219,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Not Required,,
AE 233,Control Systems Laboratory,3,prerequiste,AE 308 OR EE 302,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Not Required,,
AE 234,Aircraft Propulsion,6,equivalent,AE 711,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
- M.Tech.
",Required,,
AE 234,Aircraft Propulsion,6,prerequiste,AE 223 OR ME 209,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Required,,
AE 236,Compressible Fluid Mechanics,6,prerequiste,AE 225 OR ME 219,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Not Required,,
AE 236,Compressible Fluid Mechanics,6,equivalent,AE 616 OR ME 678,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Not Required,,
AE 238,Aerospace Structural Mechanics,6,prerequiste,AE 227 OR ME 201 OR ME 223,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Not Required,,
AE 248,AI and Data Science,6,equivalent,AE 102,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
- M.Tech.
",Not Required,,
AE 305,Flight Mechanics II,6,prerequiste,AE 152 OR AE 153 OR AE 705,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Not Required,,
AE 305,Flight Mechanics II,6,equivalent,AE 717,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
- M.Tech.
",Not Required,,
AE 308,Control Theory,6,equivalent,AE 775,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
- M.Tech.
",Not Required,,
AE 312,Aerodynamics Laboratory,5,prerequiste,AE 225 AND AE 236 AND AE 333,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Not Required,,
AE 314,Aircraft Structures Laboratory,5,prerequiste,( AE 227 OR ME 201 ) AND AE 238,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Not Required,,
AE 316,Aircraft Propulsion Laboratory,5,prerequiste,( AE 225 OR ME 219 ) AND AE 234,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Not Required,,
AE 320,Computational Fluid Dynamics,6,prerequiste,( AE 225 OR ME 219 ) AND AE 236,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Not Required,,
AE 326,Vibrations and Structural Dynamics,6,prerequiste,AE 227 OR ME 201 OR MM 203,Other than Self Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
",Not Required,,
AE 326,Vibrations and Structural Dynamics,6,equivalent,AE 715 OR CE 462,All Department,"- B.Tech.
- Dual Degree (B.Tech. + M.Tech.)
- M.Tech.
",Not Required,,
