Department Prefix,Department,Sr no.,Type,Course Code,Course Name,Course Type,Course content category,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Restrictions,Division Definition
"AE,AES",Aerospace Engineering,1,timetable,AE 103,A historical perspective of Aerospace Engineering,Theory,Interdisciplinary STEM Course.,I - Chandra Sekher Yerramalli,IC 1 FullSemester,11 Fri-11B-15:30:00-16:55:00-IC 1 Tue-11A-15:30:00-16:55:00-IC 1,,,100,View Restrictions for Course AE 103 Course Code Batch Year Department Program Allowed Overridable AE 103 2026 Aerospace Engineering B.Tech. Allowed Non-Overridable AE 103 ALL ALL ALL Deny Non-Overridable,View Section Detail for Course AE 103 Sections based on first year divisions for under-graduates
"AE,AES",Aerospace Engineering,2,timetable,AE 152,Introduction to Aerospace Engg.,Theory,Interdisciplinary STEM Course.,I - Rajkumar Sureshchandra Pant,FullSemester,5 Fri-5B-08:00:00-09:25:00- Wed-5A-08:00:00-09:25:00-,,,5,,
"AE,AES",Aerospace Engineering,3,timetable,AE 153,Introduction to Aerospace Engg.,Theory,Interdisciplinary STEM Course.,I - Rajkumar Sureshchandra Pant,FullSemester,5 Fri-5B-08:00:00-09:25:00- Wed-5A-08:00:00-09:25:00-,M,,20,,
"AE,AES",Aerospace Engineering,4,timetable,AE 219,Supervised Learning,Other Project,Interdisciplinary STEM Course.,I - Rohit Vishwajit Nanavati,FullSemester,,,,0,,
"AE,AES",Aerospace Engineering,5,timetable,AE 223,Thermodynamics and Propulsion,Theory,Interdisciplinary STEM Course.,I - Chandra Sekar Thyagarajan,FullSemester,6 Fri-6B-09:30:00-10:55:00- Wed-6A-09:30:00-10:55:00-,,,297,,
"AE,AES",Aerospace Engineering,6,timetable,AE 223,Thermodynamics and Propulsion,Theory,Interdisciplinary STEM Course.,I - Chandra Sekar Thyagarajan,FullSemester,6 Fri-6B-09:30:00-10:55:00- Wed-6A-09:30:00-10:55:00-,M,,5,,
"AE,AES",Aerospace Engineering,7,timetable,AE 227,Solid Mechanics,Theory,Interdisciplinary STEM Course.,I - Krishnendu Haldar,FullSemester,7 Fri-7B-11:05:00-12:30:00- Wed-7A-11:05:00-12:30:00-,,,298,,
"AE,AES",Aerospace Engineering,8,timetable,AE 227,Solid Mechanics,Theory,Interdisciplinary STEM Course.,I - Krishnendu Haldar,FullSemester,7 Fri-7B-11:05:00-12:30:00- Wed-7A-11:05:00-12:30:00-,M,,20,,
"AE,AES",Aerospace Engineering,9,timetable,AE 229,Introduction to Aerodynamics and Propulsion Laboratory,Lab,Interdisciplinary STEM Course.,I - Chandra Sekar Thyagarajan I - Dhwanil Shukla I - Nagendra Kumar I - Prabhu Ramachandran,FullSemester,L Tue-L2-14:00:00-16:55:00-,,,0,,
"AE,AES",Aerospace Engineering,10,timetable,AE 231,Introduction to Aerospace Structures and Control  Laboratory,Lab,Interdisciplinary STEM Course.,I - Hemendra Arya I - Krishnendu Haldar,FullSemester,L Fri-L4-14:00:00-16:55:00-,,,0,,
"AE,AES",Aerospace Engineering,11,timetable,AE 234,Aircraft Propulsion,Theory,Interdisciplinary STEM Course.,I - Pradeep Amboor Madathil,FullSemester,1 Mon-1A-09:30:00-10:25:00- Thu-1C-09:30:00-10:25:00- Tue-1B-09:30:00-10:25:00-,,,300,,
"AE,AES",Aerospace Engineering,12,timetable,AE 236,Compressible Fluid Mechanics,Theory,Interdisciplinary STEM Course.,I - Aniruddha Sinha,FullSemester,2 Mon-2A-10:35:00-11:30:00- Thu-2C-10:35:00-11:30:00- Tue-2B-10:35:00-11:30:00-,,,5,,
