Department Prefix,Department,Course Code,Course Name,Year,Semester,Section,Total Graded,AA,AB,AC,AD,AP,BB,BC,BD,CC,CD,DD,PP,NP,FF,FR,DX,DR,II,W,AU,PD,NC
"AE,AES",Aerospace Engineering,AE 103,A historical perspective of Aerospace Engineering,2024,1,ALL,80,8,16,,,,44,12,,,,,,,,,,,,,,,
"AE,AES",Aerospace Engineering,AE 103,A historical perspective of Aerospace Engineering,2025,1,ALL,72,18,36,,,,17,,,,,1,,,,,,,,,,,
"AE,AES",Aerospace Engineering,AE 152,Introduction to Aerospace Engg.,2024,1,ALL,15,,2,,,,5,2,,2,2,,,,,2,,,,,,,
"AE,AES",Aerospace Engineering,AE 152,Introduction to Aerospace Engg.,2025,1,ALL,2,,,,,,,,,,,,,,,2,,,,,,,
"AE,AES",Aerospace Engineering,AE 153,Introduction to Aerospace Engg.,2024,1,M,10,,3,,,,2,3,,2,,,,,,,,,,,,,
"AE,AES",Aerospace Engineering,AE 153,Introduction to Aerospace Engg.,2025,1,M,17,,,,,,7,1,,4,2,2,,,,1,,,,,,,
"AE,AES",Aerospace Engineering,AE 219,Supervised Learning,2024,1,ALL,13,8,1,,,,,,,,,1,,,,,,,3,,,,
"AE,AES",Aerospace Engineering,AE 219,Supervised Learning,2025,1,ALL,26,7,7,,,,7,1,,,,,,,,,,,4,,,,
"AE,AES",Aerospace Engineering,AE 223,Thermodynamics and Propulsion,2024,1,ALL,99,5,23,,,,19,22,,12,7,4,,,5,2,,,,,,,
"AE,AES",Aerospace Engineering,AE 223,Thermodynamics and Propulsion,2024,1,M,4,,,,,,2,1,,,,1,,,,,,,,,,,
"AE,AES",Aerospace Engineering,AE 223,Thermodynamics and Propulsion,2025,1,ALL,91,4,18,,,1,13,19,,10,7,11,,,,8,,,,,,,
"AE,AES",Aerospace Engineering,AE 227,Solid Mechanics,2024,1,ALL,100,6,16,,,1,17,10,,16,12,14,,,,8,,,,,,,
"AE,AES",Aerospace Engineering,AE 227,Solid Mechanics,2025,1,ALL,84,8,24,,,,15,13,,8,11,3,,,,2,,,,,,,
"AE,AES",Aerospace Engineering,AE 227,Solid Mechanics,2025,1,M,1,,1,,,,,,,,,,,,,,,,,,,,
"AE,AES",Aerospace Engineering,AE 229,Introduction to Aerodynamics and Propulsion Laboratory,2024,1,ALL,83,13,28,,,,34,6,,2,,,,,,,,,,,,,
"AE,AES",Aerospace Engineering,AE 229,Introduction to Aerodynamics and Propulsion Laboratory,2025,1,ALL,78,17,31,,,,23,5,,2,,,,,,,,,,,,,
"AE,AES",Aerospace Engineering,AE 231,Introduction to Aerospace Structures and Control Laboratory,2024,1,ALL,81,8,14,,,,19,16,,15,7,2,,,,,,,,,,,
